x,y,Name,OBJECTID,CODE,LMV,LCV,HMV,TOTAL,AREA_LOT
72.9594266,19.1768968,M/S nirmal Lifestyle,1,E-7,749,0,136,885,53770
72.8479501,19.2396647,M/S Vinita Estate,2,W-14,168,26,0,194,
72.9435973,19.1706938,Marathon (Chhaganlal Khimji),3,E-3,440,,,,22000
72.9525028,19.16951,M/S Dura Tech,4,E-2,192,,,192,9600
72.936941,19.166235,M/S Nirmal Lifestyle,5,E-8,1218,0,465,1683,116700
72.944394,19.1596483,M/S Runwal Homes Pvt. Ltd.,6,E-15,1152,0,117,1269,99297.7
72.9468988,19.1813617,M/S Runwal Developers Pvt. Ltd.,7,E-5,480,30,0,510,25950
72.9452648,19.1577008,M/S Ashford Infotech,8,E-19,254,0,36,289,16440
72.9298782,19.1426186,M/S Neptune Ventures,9,E-13,639,0,104,743,47468
72.9307915,19.1292046,M/S Lodha,10,E-6,402,0,0,402,19997.95
72.8906988,19.1182027,M/S Sripal Realty (Lodha),11,E-17,185,0,0,185,8800
72.9189633,19.0989283,M/S Wadhva,12,E-12,824,36,13,873,45100
72.8922408,19.1136352,M/S Central Marcantile (Kanakia),13,E-4,161,0,13,174,21031
72.917499,19.1120113,M/S K D Patel,14,E-21,486,68,0,554,28720
72.8565756,19.1317765,M/S Satellite Vijay Developers Pvt. Ltd. (Omkar),15,W-50,561,0,0,561,27939.92
72.8445612,19.1417063,M/S Patel Engineering Co. Ltd.,16,W-44,290,34,0,324,16710
72.8326685,19.1414709,M/S Nakta Investment Pvt. Ltd.,17,W-48,69,0,0,69,3450
72.8285172,19.1413328,M/S Runwal Developers Pvt. Ltd.,18,W-8,450,65,0,515,
72.8225142,19.1302827,M/S Kabra & Associates,19,W-47,144,0,0,144,7200
72.8502502,19.1612502,M/S Vardhaman Realtors,20,W-45,73,0,0,73,3597.03
72.8294929,19.0654733,M/S Ahuja Pvt. Ltd.,21,W-17,195,0,0,195,8483.96
72.8324043,19.0552527,M/S Pridehill Developers Pvt. Ltd.,22,W-7,92,0,0,92,4576.68
72.8559688,19.153778,M/S Pranik Developers (Lodha),23,W-10,982,20,21,1023,
72.8835388,19.1078147,M/S Neelkanth Tech Park,24,W-4,275,0,0,275,
72.8466928,19.1634857,M/S Rachna Astra,25,W-1,116,0,0,116,
72.85325,19.1697557,M/S Romell Group,26,W-2,306,0,0,306,
72.8458665,19.1695904,M/S HCC,27,W-16,227,0,0,227,
72.8515051,19.1658299,M/S Suyojna Impex,28,W-9,74,0,0,74,
72.8612622,19.1704423,M/S Oberoi Realty Ltd.,29,W-29,3500,0,132,3632,190840
72.844722,19.1782256,M/S D B realty,30,W-5,376,0,116,492,
72.8735593,19.1112263,M/S Rockford Developer Pvt. Ltd.,31,W-12,250,0,0,250,
72.8678091,19.0723097,M/S Ultraspace Developer Ltd.,32,W-19,409,0,0,409,
72.8633802,19.0707271,M/S Cloud Nine,33,W-20,80,0,0,80,
72.8642827,19.1395609,M/S Oberoi Realty,34,W-28,673,0,0,673,
72.8360793,19.0563965,M/S Shraddha Sheltors,35,W-27,102,0,0,102,
72.8453182,19.1151737,M/S TATA Housing,36,W-40,309,15,0,324,
72.8445076,19.1404455,M/S Zennia Enterprises,37,W-46,205,48,5,258,
72.861983,19.1375704,M/S Dynacraft Machine,38,W-39,99,82,111,292,
72.883435,19.1169977,M/S Neepa Real Estate,39,W-21,1282,210,25,1517,80720
72.8308539,18.9740792,M/S Swayam Realtors & Traders PPL,40,C-54,1280,0,0,1280,64000
72.8293991,18.9868055,M/S Lodha (Apollo mill),41,C-5,817,0,30,847,40413.35
72.8249928,18.9775835,M/S Genext Hardware & Parks Pvt. Ltd.(Raheja),42,C-4,258,1316,5,1597,
72.8262401,18.9777443,M/S Neelkamal Realtors,43,C-9,923,0,0,923,34262.1
72.8235487,18.9680598,M/S Neel Kamal Realtors & Builders Pvt. Ltd. (D B Realty),44,C-26,626,210,0,836,59940.76
72.8305104,18.9801796,M/S Simplex Mills,45,C-32,100,0,0,100,7990
72.8405161,18.9788988,M/S Mafatlal Mills,46,C-53,1635,0,0,1635,81510
72.8283843,18.9640672,M/S Kathawala Realtors,47,C69,279,100,0,379,20450
72.8356467,18.9825995,M/S Goodtime Real Estate Development Pvt. Ltd. (Penninsula),48,C-74,409,62,15,486,26280
72.8146433,18.9717845,M/S Suryodaya Estate,49,C-13,747,0,12,759,38790
72.8146684,18.9712533,M/S Rubberwala & Neo Ventures,50,C-21,152,0,0,152,7600
72.8214436,18.9507799,M/S Marine Drive Hospitality & Realty Pvt. Ltd.,51,C-71,779,24,4,807,40990
72.8241726,18.9608775,M/S Rubberwala,52,C-20,79,223,0,302,
72.8114927,18.9766056,M/S HBS (Vellard View CHS),53,C-65,235,0,0,235,11750
72.8102249,18.9681848,M/S Lodha,54,C-58,204,0,0,204,20251.04
72.8183029,18.9621518,M/S Goodwill Theaters Pvt. Ltd. (Novelty Cinema),55,C-48,160,0,0,160,7965.72
72.7967095,18.9512693,M/S Runwal Township Pvt. Ltd.,56,C-49,58,0,0,58,6150
72.8242368,18.9628682,M/S Hilton Infrastructure,57,C-44,220,112,0,332,
72.8296232,19.0042865,M/S Lodha,58,C-6,4328,0,237,4565,244932.01
72.8242105,18.9864185,M/S D B Realty,59,C-8,385,0,0,385,16455
72.8214244,19.0081249,M/S K. Raheja,60,C-3,794,9,0,803,33119.24
72.8286533,19.0019508,M/S Lodha,61,C-16,3856,0,0,3856,237033.1
72.8327546,19.0075388,M/S Indiabull,62,C-1,2370,0,0,2370,108396.93
72.8213296,18.9991927,M/S Shri Ram Mill (Palais Royalae),63,C-33,900,0,0,900,
72.8308884,18.9940387,M/S Marathon,64,C-17,493,0,0,493,24616.74
72.8232844,19.0080746,M/S Omkar,65,C-72,701,0,0,701,34762.4
